author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 112906358;homeowner;https://anadyr.cian.ru/sale/flat/298100365/;Анадырь;sale;flat;4;5;1;35.9;8100000;Анадырь; Энергетиков;5;;
ID 73897499;homeowner;https://anadyr.cian.ru/sale/flat/296931705/;Анадырь;sale;flat;4;5;1;44.2;8100000;Анадырь; Энергетиков;28;;
ID 31310787;homeowner;https://anadyr.cian.ru/sale/flat/296075521/;Анадырь;sale;flat;4;5;1;40.2;9000000;Анадырь; Тевлянто;13;;
ID 23445872;homeowner;https://anadyr.cian.ru/sale/flat/297495181/;Анадырь;sale;flat;5;5;2;50.4;9500000;Анадырь; Отке;34Б;;
ID 103966772;homeowner;https://anadyr.cian.ru/sale/flat/288438167/;Анадырь;sale;flat;4;5;1;31.3;6000000;Певек; Чемоданова;29;;
ID 93882423;homeowner;https://anadyr.cian.ru/sale/flat/295721443/;Анадырь;sale;flat;4;4;3;84.6;15000000;Анадырь; Строителей;1А;;
ID 113817647;homeowner;https://anadyr.cian.ru/sale/flat/299113620/;Анадырь;sale;flat;5;5;3;77.6;15000000;Анадырь;Полярная ;22;;
ID 80260692;homeowner;https://anadyr.cian.ru/sale/flat/271366241/;Анадырь;sale;flat;3;5;3;77.9;11000000;Анадырь; Отке;11;;
